Year,GDP,Annual_Hours,Capital_Stock
1970-01-01,62422483054.6667,2077.3308240501700,2007557.6250
1971-01-01,67351404351.8330,2077.0851414111400,2125584.5000
1972-01-01,71464700666.9869,2076.5603952365100,2246936.2500
1973-01-01,85517673172.5513,2074.8291584810300,2356270.7500
1974-01-01,99526597933.6331,2072.3656910449100,2469047.5000
1975-01-01,98473832017.3242,2069.9564415448700,2572253.5000
1976-01-01,102716451979.6800,2067.1599924767100,2694518.5000
1977-01-01,121486641441.3090,2065.3795315874000,2842638.2500
1978-01-01,137302319828.9950,2064.4177857059200,2996300.7500
1979-01-01,152995442497.7090,2064.2245944513400,3141638.2500
1980-01-01,186328579302.0680,2064.0279137743000,3287425.0000
1981-01-01,193491368445.5730,2063.6229736382300,3425594.7500
1982-01-01,200715624830.9020,2064.1530490527200,3573908.0000
1983-01-01,218262146413.1580,2065.1204736921900,3736218.5000
1984-01-01,212157645177.6520,2066.7083048097000,3893197.5000
1985-01-01,232511554840.3720,2068.6076371971800,4055480.2500
1986-01-01,248985994040.5900,2070.5778181376000,4241472.5000
1987-01-01,279033584092.2230,2072.2705445191500,4455748.0000
1988-01-01,296589670895.9320,2075.0774401227100,4668445.0000
1989-01-01,296042052944.6600,2078.1320423341800,4903968.0000
1990-01-01,320979026420.0350,2078.4794864874800,5197479.5000
1991-01-01,270105341879.2260,2079.3041861083900,5432177.5000
1992-01-01,288208070278.0130,2076.9105199854300,5704981.0000
1993-01-01,279295648982.5290,2075.8692795182300,5955224.0000
1994-01-01,327274843459.4290,2075.6873226661400,6222263.5000
1995-01-01,360281909643.4890,2077.0971475461500,6544259.5000
1996-01-01,392896866204.5160,2079.8303202854100,6877184.0000
1997-01-01,415867563592.8290,2079.3824646648300,7246153.0000
1998-01-01,421351317224.9410,2080.7411752890600,7660627.0000
1999-01-01,458821052615.7900,2082.6937820230200,8201081.5000
2000-01-01,468395521654.4580,2086.6283911409700,8682468.0000
2001-01-01,485440139204.1710,2086.7727865028000,9323320.0000
2002-01-01,514939140318.7560,2088.8935631369500,9916184.0000
2003-01-01,607700687237.3180,2091.9958655161600,10550977.0000
2004-01-01,709152728830.7750,2095.7782123748400,11291206.0000
2005-01-01,820383763511.4450,2096.9160870901900,12177142.0000
2006-01-01,940259888787.7210,2097.0965368183300,13214575.0000
2007-01-01,1216736438834.9600,2098.1213308459900,14455985.0000
2008-01-01,1198895139005.9200,2099.6330905812800,15664624.0000
2009-01-01,1341888016994.9000,2103.5361849097100,16981898.0000
2010-01-01,1675615519484.9600,2110.3926759065400,18487850.0000
2011-01-01,1823051829894.5500,2113.6245919229200,20172132.0000
2012-01-01,1827637590410.4100,2115.7138643415900,21863598.0000
2013-01-01,1856721507621.5800,2117.1133162645500,23393342.0000
2014-01-01,2039126479154.5200,2118.5447105505100,24953404.0000
2015-01-01,2103588360044.9400,2118.8214948314900,26605918.0000
2016-01-01,2294796885663.1600,2121.2430710754800,28367374.0000
2017-01-01,2651474262755.4500,2122.9406824845900,30257410.0000
2018-01-01,2702929641648.7400,2122.9406824845900,32325540.0000
2019-01-01,2835606256558.1900,2122.9406824845900,34201480.0000
